model,log_loss,accuracy,correct,rps,ece,rps_ci_lo,rps_ci_hi,ll_ci_lo,ll_ci_hi
elo-baseline,1.2254,0.438,28,0.2299,0.1692,0.18833686514474207,0.2750049537010826,1.0190932653969138,1.4711020841882378
form-last-10,1.0807,0.469,30,0.2321,0.0859,0.22151630704182698,0.24297063520550036,0.9839020948669596,1.1786695736123154
poisson-xg (DC fit),1.1688,0.406,26,0.2508,0.1176,0.2107553983892986,0.2916621175899576,1.0222210507208924,1.318726698933974
player-xg-poisson,1.1147,0.422,27,0.2398,0.1105,0.203549370005338,0.2788884073991362,0.9981738497527827,1.234370097085369
ensemble-v2 (3-mdl),1.0544,0.438,28,0.2224,0.1034,0.19570437430654375,0.2512573205049291,0.972160961024107,1.1385707962929288
ens-backtest-v3,1.0519,0.438,28,0.2206,0.0616,0.19496822273559866,0.24824285613042923,0.9719179928305914,1.1329855430158837
ensemble-e3 (bench),1.062,0.359,23,0.2226,0.0881,0.1919178580078125,0.25581105605468746,0.9645558951242383,1.1652745581225192
