source_name,rank,points,reason,is_wc2026_qualifier
Tahiti,157,1019.04,name not in WIKI_NAME_TO_FIFA3,False
Myanmar,158,1011.88,name not in WIKI_NAME_TO_FIFA3,False
Moldova,159,1004.16,name not in WIKI_NAME_TO_FIFA3,False
Vanuatu,160,997.01,name not in WIKI_NAME_TO_FIFA3,False
Malta,161,987.73,name not in WIKI_NAME_TO_FIFA3,False
Antigua and Barbuda,162,986.58,name not in WIKI_NAME_TO_FIFA3,False
Grenada,163,982.57,name not in WIKI_NAME_TO_FIFA3,False
Cuba,164,981.42,name not in WIKI_NAME_TO_FIFA3,False
Eswatini,165,979.01,name not in WIKI_NAME_TO_FIFA3,False
Bermuda,166,976.87,name not in WIKI_NAME_TO_FIFA3,False
St Lucia,167,976.71,name not in WIKI_NAME_TO_FIFA3,False
Papua New Guinea,168,974.9,name not in WIKI_NAME_TO_FIFA3,False
Afghanistan,169,972.75,name not in WIKI_NAME_TO_FIFA3,False
South Sudan,170,970.94,name not in WIKI_NAME_TO_FIFA3,False
St Vincent and the Grenadines,171,968.27,name not in WIKI_NAME_TO_FIFA3,False
Maldives,172,954.93,name not in WIKI_NAME_TO_FIFA3,False
Andorra,173,945.34,name not in WIKI_NAME_TO_FIFA3,False
Chinese Taipei,174,923.78,name not in WIKI_NAME_TO_FIFA3,False
Montserrat,175,916.75,name not in WIKI_NAME_TO_FIFA3,False
Nepal,176,914.54,name not in WIKI_NAME_TO_FIFA3,False
Cambodia,177,911.54,name not in WIKI_NAME_TO_FIFA3,False
Mauritius,178,911.49,name not in WIKI_NAME_TO_FIFA3,False
Barbados,179,909.89,name not in WIKI_NAME_TO_FIFA3,False
Belize,180,907.0,name not in WIKI_NAME_TO_FIFA3,False
Bangladesh,181,899.53,name not in WIKI_NAME_TO_FIFA3,False
Dominica,182,897.69,name not in WIKI_NAME_TO_FIFA3,False
Chad,183,896.65,name not in WIKI_NAME_TO_FIFA3,False
Eritrea,184,887.06,name not in WIKI_NAME_TO_FIFA3,False
Laos,185,885.03,name not in WIKI_NAME_TO_FIFA3,False
Bhutan,186,880.55,name not in WIKI_NAME_TO_FIFA3,False
Mongolia,187,879.75,name not in WIKI_NAME_TO_FIFA3,False
Cook Islands,188,877.53,name not in WIKI_NAME_TO_FIFA3,False
Aruba,189,877.3,name not in WIKI_NAME_TO_FIFA3,False
Samoa,190,876.41,name not in WIKI_NAME_TO_FIFA3,False
Sri Lanka,191,871.82,name not in WIKI_NAME_TO_FIFA3,False
American Samoa,192,871.61,name not in WIKI_NAME_TO_FIFA3,False
Brunei Darussalam,193,863.09,name not in WIKI_NAME_TO_FIFA3,False
Macau,194,858.03,name not in WIKI_NAME_TO_FIFA3,False
Cayman Islands,195,855.45,name not in WIKI_NAME_TO_FIFA3,False
São Tomé and Príncipe,196,855.44,name not in WIKI_NAME_TO_FIFA3,False
Djibouti,197,853.58,name not in WIKI_NAME_TO_FIFA3,False
Somalia,198,839.17,name not in WIKI_NAME_TO_FIFA3,False
Tonga,199,835.64,name not in WIKI_NAME_TO_FIFA3,False
Timor-Leste,200,825.64,name not in WIKI_NAME_TO_FIFA3,False
Guam,201,825.43,name not in WIKI_NAME_TO_FIFA3,False
Pakistan,202,824.6,name not in WIKI_NAME_TO_FIFA3,False
Gibraltar,203,810.14,name not in WIKI_NAME_TO_FIFA3,False
Seychelles,204,804.16,name not in WIKI_NAME_TO_FIFA3,False
Turks and Caicos Islands,205,803.98,name not in WIKI_NAME_TO_FIFA3,False
Liechtenstein,206,803.57,name not in WIKI_NAME_TO_FIFA3,False
Bahamas,207,786.82,name not in WIKI_NAME_TO_FIFA3,False
British Virgin Islands,208,782.14,name not in WIKI_NAME_TO_FIFA3,False
US Virgin Islands,209,779.76,name not in WIKI_NAME_TO_FIFA3,False
Anguilla,210,760.25,name not in WIKI_NAME_TO_FIFA3,False
San Marino,211,726.33,name not in WIKI_NAME_TO_FIFA3,False
