match_id,market_type,outcome,team_code,ticker,last_price,volume,kickoff
WC26-JOR-ARG-2026-06-27,match_1x2,away,ARG,KXWCGAME-26JUN27JORARG-ARG,0.8100,0,2026-06-27
WC26-DZA-AUT-2026-06-27,match_1x2,draw,TIE,KXWCGAME-26JUN27DZAAUT-TIE,0.0500,0,2026-06-27
WC26-DZA-AUT-2026-06-27,match_1x2,home,DZA,KXWCGAME-26JUN27DZAAUT-DZA,0.5500,0,2026-06-27
WC26-DZA-AUT-2026-06-27,match_1x2,away,AUT,KXWCGAME-26JUN27DZAAUT-AUT,0.2500,0,2026-06-27
WC26-CRO-GHA-2026-06-27,match_1x2,draw,TIE,KXWCGAME-26JUN27CROGHA-TIE,0.0900,0,2026-06-27
WC26-CRO-GHA-2026-06-27,match_1x2,away,GHA,KXWCGAME-26JUN27CROGHA-GHA,0.0000,0,2026-06-27
WC26-CRO-GHA-2026-06-27,match_1x2,home,CRO,KXWCGAME-26JUN27CROGHA-CRO,0.2500,0,2026-06-27
WC26-COL-POR-2026-06-27,match_1x2,draw,TIE,KXWCGAME-26JUN27COLPOR-TIE,0.1600,0,2026-06-27
WC26-COL-POR-2026-06-27,match_1x2,away,POR,KXWCGAME-26JUN27COLPOR-POR,0.5200,0,2026-06-27
WC26-COL-POR-2026-06-27,match_1x2,home,COL,KXWCGAME-26JUN27COLPOR-COL,0.4200,0,2026-06-27
WC26-EGY-IRI-2026-06-26,match_1x2,draw,TIE,KXWCGAME-26JUN26EGYIRI-TIE,0.4600,0,2026-06-26
WC26-EGY-IRI-2026-06-26,match_1x2,away,IRI,KXWCGAME-26JUN26EGYIRI-IRI,0.3000,0,2026-06-26
WC26-EGY-IRI-2026-06-26,match_1x2,home,EGY,KXWCGAME-26JUN26EGYIRI-EGY,0.6000,0,2026-06-26
WC26-PAN-ENG-2026-06-27,match_1x2,draw,TIE,KXWCGAME-26JUN27PANENG-TIE,0.0500,0,2026-06-27
WC26-PAN-ENG-2026-06-27,match_1x2,home,PAN,KXWCGAME-26JUN27PANENG-PAN,0.2800,0,2026-06-27
WC26-PAN-ENG-2026-06-27,match_1x2,away,ENG,KXWCGAME-26JUN27PANENG-ENG,0.8100,0,2026-06-27
WC26-NZL-BEL-2026-06-26,match_1x2,draw,TIE,KXWCGAME-26JUN26NZLBEL-TIE,0.0000,0,2026-06-26
WC26-NZL-BEL-2026-06-26,match_1x2,home,NZL,KXWCGAME-26JUN26NZLBEL-NZL,0.0500,0,2026-06-26
WC26-NZL-BEL-2026-06-26,match_1x2,away,BEL,KXWCGAME-26JUN26NZLBEL-BEL,0.7800,0,2026-06-26
WC26-CPV-KSA-2026-06-26,match_1x2,draw,TIE,KXWCGAME-26JUN26CPVKSA-TIE,0.0000,0,2026-06-26
WC26-CPV-KSA-2026-06-26,match_1x2,away,KSA,KXWCGAME-26JUN26CPVKSA-KSA,0.0000,0,2026-06-26
WC26-CPV-KSA-2026-06-26,match_1x2,home,CPV,KXWCGAME-26JUN26CPVKSA-CPV,0.7800,0,2026-06-26
WC26-NOR-FRA-2026-06-26,match_1x2,draw,TIE,KXWCGAME-26JUN26NORFRA-TIE,0.1600,0,2026-06-26
WC26-NOR-FRA-2026-06-26,match_1x2,home,NOR,KXWCGAME-26JUN26NORFRA-NOR,0.5400,0,2026-06-26
WC26-NOR-FRA-2026-06-26,match_1x2,away,FRA,KXWCGAME-26JUN26NORFRA-FRA,0.5800,0,2026-06-26
WC26-URU-ESP-2026-06-26,match_1x2,home,URU,KXWCGAME-26JUN26URUESP-URU,0.4500,0,2026-06-26
WC26-URU-ESP-2026-06-26,match_1x2,draw,TIE,KXWCGAME-26JUN26URUESP-TIE,0.4500,0,2026-06-26
WC26-URU-ESP-2026-06-26,match_1x2,away,ESP,KXWCGAME-26JUN26URUESP-ESP,0.5000,0,2026-06-26
WC26-PAR-AUS-2026-06-25,match_1x2,draw,TIE,KXWCGAME-26JUN25PARAUS-TIE,0.0000,0,2026-06-25
WC26-PAR-AUS-2026-06-25,match_1x2,home,PAR,KXWCGAME-26JUN25PARAUS-PAR,0.7500,0,2026-06-25
WC26-PAR-AUS-2026-06-25,match_1x2,away,AUS,KXWCGAME-26JUN25PARAUS-AUS,0.5600,0,2026-06-25
WC26-TUN-NED-2026-06-25,match_1x2,home,TUN,KXWCGAME-26JUN25TUNNED-TUN,0.4700,0,2026-06-25
WC26-TUN-NED-2026-06-25,match_1x2,draw,TIE,KXWCGAME-26JUN25TUNNED-TIE,0.0000,0,2026-06-25
WC26-TUN-NED-2026-06-25,match_1x2,away,NED,KXWCGAME-26JUN25TUNNED-NED,0.7900,0,2026-06-25
WC26-CUW-CIV-2026-06-25,match_1x2,draw,TIE,KXWCGAME-26JUN25CUWCIV-TIE,0.1000,0,2026-06-25
WC26-CUW-CIV-2026-06-25,match_1x2,home,CUW,KXWCGAME-26JUN25CUWCIV-CUW,0.0000,0,2026-06-25
WC26-CUW-CIV-2026-06-25,match_1x2,away,CIV,KXWCGAME-26JUN25CUWCIV-CIV,0.1500,0,2026-06-25
WC26-ECU-GER-2026-06-25,match_1x2,draw,TIE,KXWCGAME-26JUN25ECUGER-TIE,0.4500,0,2026-06-25
WC26-ECU-GER-2026-06-25,match_1x2,away,GER,KXWCGAME-26JUN25ECUGER-GER,0.6400,0,2026-06-25
WC26-ECU-GER-2026-06-25,match_1x2,home,ECU,KXWCGAME-26JUN25ECUGER-ECU,0.2000,0,2026-06-25
WC26-RSA-KOR-2026-06-24,match_1x2,draw,TIE,KXWCGAME-26JUN24RSAKOR-TIE,0.4900,0,2026-06-24
WC26-RSA-KOR-2026-06-24,match_1x2,home,RSA,KXWCGAME-26JUN24RSAKOR-RSA,0.5700,0,2026-06-24
WC26-RSA-KOR-2026-06-24,match_1x2,away,KOR,KXWCGAME-26JUN24RSAKOR-KOR,0.3500,0,2026-06-24
WC26-SCO-BRA-2026-06-24,match_1x2,draw,TIE,KXWCGAME-26JUN24SCOBRA-TIE,0.4000,0,2026-06-24
WC26-SCO-BRA-2026-06-24,match_1x2,home,SCO,KXWCGAME-26JUN24SCOBRA-SCO,0.2100,0,2026-06-24
WC26-SCO-BRA-2026-06-24,match_1x2,away,BRA,KXWCGAME-26JUN24SCOBRA-BRA,0.4800,0,2026-06-24
WC26-MAR-HTI-2026-06-24,match_1x2,draw,TIE,KXWCGAME-26JUN24MARHTI-TIE,0.0000,0,2026-06-24
WC26-MAR-HTI-2026-06-24,match_1x2,home,MAR,KXWCGAME-26JUN24MARHTI-MAR,0.7500,0,2026-06-24
WC26-MAR-HTI-2026-06-24,match_1x2,away,HTI,KXWCGAME-26JUN24MARHTI-HTI,0.4800,0,2026-06-24
WC26-PAN-CRO-2026-06-23,match_1x2,draw,TIE,KXWCGAME-26JUN23PANCRO-TIE,0.0000,0,2026-06-23
WC26-PAN-CRO-2026-06-23,match_1x2,home,PAN,KXWCGAME-26JUN23PANCRO-PAN,0.4500,0,2026-06-23
WC26-PAN-CRO-2026-06-23,match_1x2,away,CRO,KXWCGAME-26JUN23PANCRO-CRO,0.3500,0,2026-06-23
WC26-SUI-CAN-2026-06-24,match_1x2,draw,TIE,KXWCGAME-26JUN24SUICAN-TIE,0.5400,0,2026-06-24
WC26-SUI-CAN-2026-06-24,match_1x2,home,SUI,KXWCGAME-26JUN24SUICAN-SUI,0.2500,0,2026-06-24
WC26-SUI-CAN-2026-06-24,match_1x2,away,CAN,KXWCGAME-26JUN24SUICAN-CAN,0.6100,0,2026-06-24
