date,match_id,home,away,outcome,p_model,p_market,edge_pp,edge_rel,fair_odds,market_odds
2026-06-15,WC26-ESP-CPV-2026-06-15,Spain,Cape Verde,draw,0.0728,0.0798,-0.7,-0.088,+1274,+1153
2026-06-15,WC26-ESP-CPV-2026-06-15,Spain,Cape Verde,away,0.0208,0.0368,-1.6,-0.435,+4708,+2617
2026-06-15,WC26-KSA-URU-2026-06-15,Saudi Arabia,Uruguay,home,0.1234,0.1278,-0.44,-0.034,+710,+682
2026-06-15,WC26-KSA-URU-2026-06-15,Saudi Arabia,Uruguay,draw,0.2139,0.213,0.09,0.004,+368,+369
2026-06-15,WC26-KSA-URU-2026-06-15,Saudi Arabia,Uruguay,away,0.6628,0.6591,0.37,0.006,-197,-193
2026-06-16,WC26-AUT-JOR-2026-06-16,Austria,Jordan,home,0.462,0.7248,-26.28,-0.363,+116,-263
2026-06-16,WC26-AUT-JOR-2026-06-16,Austria,Jordan,draw,0.2797,0.1743,10.54,0.605,+258,+474
2026-06-16,WC26-AUT-JOR-2026-06-16,Austria,Jordan,away,0.2583,0.1009,15.74,1.56,+287,+891
2026-06-16,WC26-ARG-ALG-2026-06-16,Argentina,Algeria,home,0.6612,0.6837,-2.25,-0.033,-195,-216
2026-06-16,WC26-ARG-ALG-2026-06-16,Argentina,Algeria,draw,0.2146,0.2093,0.53,0.025,+366,+378
2026-06-16,WC26-ARG-ALG-2026-06-16,Argentina,Algeria,away,0.1242,0.107,1.72,0.161,+705,+835
2026-06-16,WC26-FRA-SEN-2026-06-16,France,Senegal,home,0.5976,0.6467,-4.91,-0.076,-149,-183
2026-06-16,WC26-FRA-SEN-2026-06-16,France,Senegal,draw,0.2408,0.217,2.38,0.11,+315,+361
2026-06-16,WC26-FRA-SEN-2026-06-16,France,Senegal,away,0.1616,0.1364,2.52,0.185,+519,+633
2026-06-16,WC26-IRQ-NOR-2026-06-16,Iraq,Norway,home,0.135,0.0687,6.63,0.965,+641,+1356
2026-06-16,WC26-IRQ-NOR-2026-06-16,Iraq,Norway,draw,0.223,0.1373,8.57,0.624,+348,+628
2026-06-16,WC26-IRQ-NOR-2026-06-16,Iraq,Norway,away,0.642,0.794,-15.2,-0.191,-179,-385
2026-06-17,WC26-POR-COD-2026-06-17,Portugal,DR Congo,home,0.6337,0.746,-11.23,-0.151,-173,-294
2026-06-17,WC26-POR-COD-2026-06-17,Portugal,DR Congo,draw,0.2265,0.1668,5.97,0.358,+342,+500
2026-06-17,WC26-POR-COD-2026-06-17,Portugal,DR Congo,away,0.1398,0.0872,5.26,0.603,+615,+1047
2026-06-17,WC26-UZB-COL-2026-06-17,Uzbekistan,Colombia,home,0.1538,0.113,4.08,0.361,+550,+785
