stage,date,home_team,away_team,score,winner
Round of 16,2026-07-05,Mexico,England,1-2,England
Round of 16,2026-07-06,Croatia,Spain,1-2,Spain
Round of 16,2026-07-06,USA,Belgium,1-0,USA
Round of 16,2026-07-07,Argentina,Türkiye,2-1,Argentina
Round of 16,2026-07-07,Switzerland,Portugal,1-2,Portugal
Quarter-final,2026-07-09,France,Netherlands,2-1,France
Quarter-final,2026-07-10,Spain,USA,2-1,Spain
Quarter-final,2026-07-11,Brazil,England,1-2,England
Quarter-final,2026-07-11,Argentina,Portugal,2-1,Argentina
Semi-final,2026-07-14,France,England,2-1,France
Semi-final,2026-07-15,Spain,Argentina,1-2,Argentina
Final,2026-07-19,France,Argentina,1-2,Argentina
