match_id,market_type,outcome,p_elo,p_poisson,p_form,p_ensemble_e3,p_ensemble_v2,p_kalshi,v_kalshi,p_polymarket,v_polymarket,golden_zone,edge,opportunity
WC26-KOR-CZE-2026-06-11,match_1x2,draw,0.278,,,,,,0,,0,0,,
WC26-KOR-CZE-2026-06-11,match_1x2,home,0.388,,,,,,0,,0,0,,
WC26-KSA-URU-2026-06-15,match_1x2,away,0.736,,,,,0.67,0,,0,0,,
WC26-KSA-URU-2026-06-15,match_1x2,draw,0.15,,,,,0.23,0,,0,0,,
WC26-KSA-URU-2026-06-15,match_1x2,home,0.114,,,,,0.12,0,,0,0,,
WC26-MAR-HAI-2026-06-24,match_1x2,away,0.135,,,,,,0,,0,0,,
WC26-MAR-HAI-2026-06-24,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-MAR-HAI-2026-06-24,match_1x2,home,0.715,,,,,,0,,0,0,,
WC26-MAR-HTI-2026-06-24,match_1x2,away,,,,,,0.48,0,,0,0,,
WC26-MAR-HTI-2026-06-24,match_1x2,draw,,,,,,,0,,0,0,,
WC26-MAR-HTI-2026-06-24,match_1x2,home,,,,,,0.75,0,,0,0,,
WC26-MEX-CZE-2026-06-24,match_1x2,away,0.207,,,,,,0,,0,0,,
WC26-MEX-CZE-2026-06-24,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-MEX-CZE-2026-06-24,match_1x2,home,0.643,,,,,,0,,0,0,,
WC26-MEX-KOR-2026-06-18,match_1x2,away,0.228,,,,,0.45,0,,0,0,,
WC26-MEX-KOR-2026-06-18,match_1x2,draw,0.163,,,,,0.4,0,,0,0,,
WC26-MEX-KOR-2026-06-18,match_1x2,home,0.609,,,,,0.55,0,,0,0,,
WC26-MEX-RSA-2026-06-11,match_1x2,away,0.078,,,,,0.16,0,,0,0,,
WC26-MEX-RSA-2026-06-11,match_1x2,draw,0.15,,,,,0.22,0,,0,0,,
WC26-MEX-RSA-2026-06-11,match_1x2,home,0.772,,,,,0.67,0,,0,0,,
WC26-NED-JPN-2026-06-14,match_1x2,away,0.314,,,,,0.32,0,,0,0,,
WC26-NED-JPN-2026-06-14,match_1x2,draw,0.251,,,,,0.26,0,,0,0,,
WC26-NED-JPN-2026-06-14,match_1x2,home,0.435,,,,,0.49,0,,0,0,,
WC26-NED-SWE-2026-06-20,match_1x2,away,0.169,,,,,,0,,0,0,,
WC26-NED-SWE-2026-06-20,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-NED-SWE-2026-06-20,match_1x2,home,0.681,,,,,,0,,0,0,,
WC26-NOR-FRA-2026-06-26,match_1x2,away,0.608,,,,,0.58,0,,0,0,,
WC26-NOR-FRA-2026-06-26,match_1x2,draw,0.164,,,,,0.16,0,,0,0,,
WC26-NOR-FRA-2026-06-26,match_1x2,home,0.228,,,,,0.54,0,,0,0,,
WC26-NOR-SEN-2026-06-22,match_1x2,away,0.329,,,,,0.37,0,,0,0,,
WC26-NOR-SEN-2026-06-22,match_1x2,draw,0.271,,,,,0.61,0,,0,0,,
WC26-NOR-SEN-2026-06-22,match_1x2,home,0.4,,,,,0.5,0,,0,0,,
WC26-NZL-BEL-2026-06-26,match_1x2,away,0.709,,,,,0.78,0,,0,0,,
WC26-NZL-BEL-2026-06-26,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-NZL-BEL-2026-06-26,match_1x2,home,0.141,,,,,0.05,0,,0,0,,
WC26-NZL-EGY-2026-06-21,match_1x2,away,0.508,,,,,0.44,0,,0,0,,
WC26-NZL-EGY-2026-06-21,match_1x2,draw,0.213,,,,,0.4,0,,0,0,,
WC26-NZL-EGY-2026-06-21,match_1x2,home,0.279,,,,,0.28,0,,0,0,,
WC26-PAN-CRO-2026-06-23,match_1x2,away,0.639,,,,,0.35,0,,0,0,,
WC26-PAN-CRO-2026-06-23,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-PAN-CRO-2026-06-23,match_1x2,home,0.21,,,,,0.45,0,,0,0,,
WC26-PAN-ENG-2026-06-27,match_1x2,away,,,,,,0.81,0,,0,0,,
WC26-PAN-ENG-2026-06-27,match_1x2,draw,,,,,,0.05,0,,0,0,,
WC26-PAN-ENG-2026-06-27,match_1x2,home,,,,,,0.28,0,,0,0,,
WC26-PAR-AUS-2026-06-25,match_1x2,away,0.318,,,,,0.56,0,,0,0,,
WC26-PAR-AUS-2026-06-25,match_1x2,draw,0.257,,,,,,0,,0,0,,
WC26-PAR-AUS-2026-06-25,match_1x2,home,0.424,,,,,0.75,0,,0,0,,
WC26-POR-COD-2026-06-17,match_1x2,away,0.111,,,,,,0,,0,0,,
WC26-POR-COD-2026-06-17,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-POR-COD-2026-06-17,match_1x2,home,0.739,,,,,,0,,0,0,,
WC26-POR-UZB-2026-06-23,match_1x2,away,0.158,,,,,0.37,0,,0,0,,
WC26-POR-UZB-2026-06-23,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-POR-UZB-2026-06-23,match_1x2,home,0.692,,,,,0.79,0,,0,0,,
WC26-QAT-SUI-2026-06-13,match_1x2,away,0.795,,,,,0.75,0,,0,0,,
WC26-QAT-SUI-2026-06-13,match_1x2,draw,0.15,,,,,0.18,0,,0,0,,
WC26-QAT-SUI-2026-06-13,match_1x2,home,0.055,,,,,0.1,0,,0,0,,
WC26-RSA-KOR-2026-06-24,match_1x2,away,0.67,,,,,0.35,0,,0,0,,
WC26-RSA-KOR-2026-06-24,match_1x2,draw,0.15,,,,,0.49,0,,0,0,,
WC26-RSA-KOR-2026-06-24,match_1x2,home,0.18,,,,,0.57,0,,0,0,,
WC26-SCO-BRA-2026-06-24,match_1x2,away,,,,,,0.48,0,,0,0,,
WC26-SCO-BRA-2026-06-24,match_1x2,draw,,,,,,0.4,0,,0,0,,
WC26-SCO-BRA-2026-06-24,match_1x2,home,,,,,,0.21,0,,0,0,,
WC26-SCO-MAR-2026-06-19,match_1x2,away,,,,,,0.69,0,,0,0,,
WC26-SCO-MAR-2026-06-19,match_1x2,draw,,,,,,0.06,0,,0,0,,
WC26-SCO-MAR-2026-06-19,match_1x2,home,,,,,,0.58,0,,0,0,,
WC26-SEN-IRQ-2026-06-26,match_1x2,away,0.148,,,,,,0,,0,0,,
WC26-SEN-IRQ-2026-06-26,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-SEN-IRQ-2026-06-26,match_1x2,home,0.702,,,,,,0,,0,0,,
WC26-SUI-BIH-2026-06-18,match_1x2,away,0.132,,,,,,0,,0,0,,
WC26-SUI-BIH-2026-06-18,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-SUI-BIH-2026-06-18,match_1x2,home,0.719,,,,,,0,,0,0,,
WC26-SUI-CAN-2026-06-24,match_1x2,away,,,,,,0.61,0,,0,0,,
WC26-SUI-CAN-2026-06-24,match_1x2,draw,,,,,,0.54,0,,0,0,,
WC26-SUI-CAN-2026-06-24,match_1x2,home,,,,,,0.25,0,,0,0,,
WC26-SWE-TUN-2026-06-14,match_1x2,away,0.295,,,,,,0,,0,0,,
WC26-SWE-TUN-2026-06-14,match_1x2,draw,0.23,,,,,,0,,0,0,,
WC26-SWE-TUN-2026-06-14,match_1x2,home,0.475,,,,,,0,,0,0,,
WC26-TUN-JPN-2026-06-20,match_1x2,away,0.7,,,,,,0,,0,0,,
WC26-TUN-JPN-2026-06-20,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-TUN-JPN-2026-06-20,match_1x2,home,0.15,,,,,,0,,0,0,,
WC26-TUN-JPN-2026-06-21,match_1x2,away,,,,,,0.6,0,,0,0,,
WC26-TUN-JPN-2026-06-21,match_1x2,draw,,,,,,0.5,0,,0,0,,
WC26-TUN-JPN-2026-06-21,match_1x2,home,,,,,,0.38,0,,0,0,,
WC26-TUN-NED-2026-06-25,match_1x2,away,0.737,,,,,0.79,0,,0,0,,
WC26-TUN-NED-2026-06-25,match_1x2,draw,0.15,,,,,,0,,0,0,,
WC26-TUN-NED-2026-06-25,match_1x2,home,0.113,,,,,0.47,0,,0,0,,
WC26-TUR-PAR-2026-06-19,match_1x2,away,0.304,,,,,,0,,0,0,,
WC26-TUR-PAR-2026-06-19,match_1x2,draw,0.24,,,,,,0,,0,0,,
WC26-TUR-PAR-2026-06-19,match_1x2,home,0.455,,,,,,0,,0,0,,
WC26-URU-CPV-2026-06-21,match_1x2,away,0.104,,,,,0.46,0,,0,0,,
WC26-URU-CPV-2026-06-21,match_1x2,draw,0.15,,,,,0.49,0,,0,0,,
WC26-URU-CPV-2026-06-21,match_1x2,home,0.746,,,,,0.7,0,,0,0,,
WC26-URU-ESP-2026-06-26,match_1x2,away,0.704,,,,,0.5,0,,0,0,,
WC26-URU-ESP-2026-06-26,match_1x2,draw,0.15,,,,,0.45,0,,0,0,,
WC26-URU-ESP-2026-06-26,match_1x2,home,0.146,,,,,0.45,0,,0,0,,
WC26-USA-AUS-2026-06-19,match_1x2,away,0.348,,,,,0.4,0,,0,0,,
WC26-USA-AUS-2026-06-19,match_1x2,draw,0.297,,,,,0.12,0,,0,0,,
WC26-USA-AUS-2026-06-19,match_1x2,home,0.354,,,,,0.55,0,,0,0,,
WC26-USA-PAR-2026-06-12,match_1x2,away,0.42,,,,,0.26,0,,0,0,,
WC26-USA-PAR-2026-06-12,match_1x2,draw,0.26,,,,,0.24,0,,0,0,,
WC26-USA-PAR-2026-06-12,match_1x2,home,0.32,,,,,0.49,0,,0,0,,
WC26-USA-TUR-2026-06-25,match_1x2,away,0.528,,,,,,0,,0,0,,
WC26-USA-TUR-2026-06-25,match_1x2,draw,0.203,,,,,,0,,0,0,,
WC26-USA-TUR-2026-06-25,match_1x2,home,0.269,,,,,,0,,0,0,,
WC26-UZB-COL-2026-06-17,match_1x2,away,0.685,,,,,0.71,0,,0,0,,
WC26-UZB-COL-2026-06-17,match_1x2,draw,0.15,,,,,0.2,0,,0,0,,
WC26-UZB-COL-2026-06-17,match_1x2,home,0.165,,,,,0.15,0,,0,0,,
